GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TriangleAssignment,default,Triangle,0,303,0,36,0,42,0,23,0,5
TriangleAssignment,default,Point,0,40,0,0,0,9,0,4,0,4
